Código IES,Nome da IES - Instituição de Ensino Superior
498,ESCOLA SUPERIOR DE EDUCACAO FISICA E DESPORTOS
499,FACULDADE DE DIREITO E ADMINISTRACAO CATANDUVA
500,FACULDADE DE MEDICINA DE CATANDUVA
501,ESCOLA SUPERIOR DE CIENCIAS DA SANTA CASA DE M
502,CENTRO UNIVERSITARIO SAO JUDAS TADEU
503,FACULDADE DE DIREITO DE CAMPOS
504,FACULDADE DE ODONTOLOGIA DE CAMPOS
505,FACULDADE DE FILOSOFIA DE CAMPOS
506,FACULDADE DE MEDICINA DE CAMPOS
507,FACULDADE MAIS DE ITUIUTABA
508,FACULDADE DE CIENCIAS SOCIAIS APLICADAS DO SUL
509,FACULDADES INTEGRADAS DE CRUZEIRO
510,FACULDADE WENCESLAU BRAZ
511,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE GU
512,FACULDADE DE CIENCIAS ADMINISTR1S ECONOMICAS E
513,UNIVERSIDADE VALE DO RIO DOCE
514,CENTRO UNIVERSITARIO DE BARRA MANSA
515,CENTRO UNIVERSITARIO ANHANGUERA DE NITEROI
516,CENTRO UNIVERSITARIO DO RIO DE JANEIRO
517,FACULDADE DE EDUCACAO SAO LUIS
518,CENTRO UNIVERSITARIO DO DISTRITO FEDERAL
519,UNIVERSIDADE CATOLICA DO SALVADOR
521,UNIVERSIDADE DE MOGI DAS CRUZES
522,CENTRO UNIVERSITARIO CELSO LISBOA
524,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE OU
526,CENTRO UNIVERSITARIO BRAZ CUBAS
527,PONTIFICIA UNIVERSIDADE CATOLICA DE GOIAS
528,PONTIFICIA UNIVERSIDADE CATOLICA DO RIO DE JAN
530,FACULDADE DE MUSICA DO ESPIRITO SANTO
531,FACULDADE DE FORMACAO DE PROFESSORES DE VITORI
532,UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO
533,FACULDADES INTEGRADAS DE ITAPETININGA
534,ESCOLA BAHIANA DE MEDICINA E SAUDE PUBLICA
535,CENTRO UNIVERSITARIO DE MANDAGUARI  UNIMAN
543,FACULDADE DE CIENCIAS DA FUNDACAO INSTITUTO TE
544,FACULDADE DE CIENCIAS HUMANAS DE ITABIRA
545,FACULDADE DE DESENVOLVIMENTO DAS CIENCIAS E HU
546,PONTIFICIA UNIVERSIDADE CATOLICA DE SAO PAULO
547,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO
548,UNIVERSIDADE FEDERAL DO MARANHAO
549,UNIVERSIDADE FEDERAL DO ACRE
550,UNIVERSIDADE ESTADUAL DA PARAIBA
552,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE CA
553,FACULDADE DE CIENCIAS ADMINISTR1S DE CARATINGA
554,FACULDADE DE FILOSOFIA  CIENCIAS E LETRAS DE B
555,UNIVERSIDADE DE FORTALEZA
556,CONSERVATORIO DE MUSICA DE NITEROI
557,ESCOLA DE MUSICA E BELAS ARTES DO PARANA
558,FACULDADE DE ARTES DO PARANA
568,UNIVERSIDADE ESTADUAL DO MARANHAO
569,UNIVERSIDADE FEDERAL DO PARA
570,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE
571,UNIVERSIDADE FEDERAL DO PARANA
572,UNIVERSIDADE FEDERAL FLUMINENSE
573,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO
574,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO
575,UNIVERSIDADE FEDERAL DE MINAS GERAIS
576,UNIVERSIDADE FEDERAL DE JUIZ DE FORA
577,UNIVERSIDADE FEDERAL DE ALAGOAS
578,UNIVERSIDADE FEDERAL DA BAHIA
579,UNIVERSIDADE FEDERAL DA PARAIBA
580,UNIVERSIDADE FEDERAL DE PERNAMBUCO
581,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL
582,UNIVERSIDADE FEDERAL DE SANTA MARIA
583,UNIVERSIDADE FEDERAL DO CEARA
584,UNIVERSIDADE FEDERAL DE GOIAS
585,UNIVERSIDADE FEDERAL DE SANTA CATARINA
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO
587,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO
588,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA
589,UNIVERSIDADE FEDERAL RURAL DO SEMIARIDO
590,UNIVERSIDADE FEDERAL RURAL DA AMAZONIA
591,UNIVERSIDADE FEDERAL DE SAO PAULO
592,UNIVERSIDADE FEDERAL DE LAVRAS
593,CENTRO FEDERAL DE EDUCACAO TECNOLOGICA CELSO S
594,CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINA
595,UNIVERSIDADE FEDERAL DE ALFENAS
596,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONH
597,UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO
